,UB,UR,UL,FR,FD,FL,RU,RB,RD,RF,BU,BL,BD,BR,LU,LF,LD,LB,DF,DR,DB,DL
UB,,"R2 U': S, R2","L2 U: S', L2","R' U': S, R2","R' F': R U R', E","L U: S', L2",U M: U/M',U/L' E L,U'/R' E' R,U/L E' L',,"L' U: S', L2",U M': U/M',"R U': S, R2",U' M: U'/M',U'/R' E R,U/L E L',U'/R E' R',"U2, M'","U': S, R2","M, U2","U: S', L2"
UR,"R2 U': R2, S",,M2: U/M,"E': U', R' E R","M', R U' R' U","U', R E2 R'",,"U: L' E L, U","U', R' E' R","U: L E' L', U","M, R' U' R U","U', R' E2 R",U M U M' U M U M',"E: U', R E' R'","S', L F' L'","U', R' E R","U: L E L', U","U', R E' R'","M U2 M, U","U', R E' R2 E R",R U R': U'/M,l F: L'/S'
UL,"L2 U: L2, S'",M2: U'/M,,"U, L' E2 L","M', L' U L U'","E: U, L E' L'","S, R' F R","U, L' E L","U': R' E' R, U'","U, L E' L'","M, L U L' U'","E': U, L' E L",U' M U' M' U' M U' M',"U, L E2 L'",,"U': R' E R, U'","U, L E L'","U': R E' R', U'","M U2 M, U'",U R U R' U' R' U' R' U R,U l: U'/R' E R,"U, L' E L2 E' L'"
FR,"R' U': R2, S","E': R' E R, U'","L' E2 L, U",,"M', U' R U",R' U': R/E,R' U' E': R/E,"R U' R', E'",R' u': R'/E',,"M, U' R U",R' U': R'/E',"U2: M, U R U'",U: R'/S,S' U: L/E',"R U' R', E","U: S, L F2 L'","R: U', R E' R'",U D': L/E',U R' U' R' U R U R U R' U2,U D: L/E',U: L/E'
FD,"R' F': E, R U R'","R U' R' U, M'","L' U L U', M'","U' R U, M'",,"U L' U', M'","R' F': E, R U' R'","M': U R' U', M'","U': S', R' F' R","M': U R U', M'","U': S, R' F' R","U L U', M'",U M' U' M U2 M U M' U,"U' R' U, M'","U' D: R' F R, S'","M': U' L' U, M'","U: S, L F L'","U' M': R E' R', U'",,U R' F': R'/S,"D': L' F' L, S",U' L F: L/S'
FL,"L U: L2, S'","R E2 R', U'","E: L E' L', U",R' U': R'/E,"M', U L' U'",,S U': R'/E,"L': U, L' E L","U': S', R' F2 R","L' U L, E'","M, U L' U'",U': L/S',"U2: M, U' L' U",R U': R'/E,"r U: U, r' E r",,S' U': R'/E,"L' U L, E",U' D: R'/E,U':  R'/E,U' D': R'/E,U' L U L U' L' U' L' U' L U2
RU,U M: U'/M',,"R' F R, S",R' U' E': R'/E,"R' F': R U' R', E",S U': R/E,,"S': U, L' E L",R E' R' U': R/E,"S': U, L E' L'","R U R' U', M'",S U': R'/E',"U D: S, L F' L'",R u': R/E',M: U'/M',"U' M: R' E R, U'",L F': L'/S',l: U'/M',"D: R' F R, S'","R' F R, S'","D': R' F R, S'","l': U, R' E R"
RB,U'/L' E L,"U2: L' E L, U'","L' E L, U","E', R U' R'","M2: U R' U', M","L': L' E L, U","S': L' E L, U",,"R, U' S U",M' U': R/S,"U R' U', M'","E, L U L'","U M: U', l' E l",,r': U'/M',r U: R/E,"L F': L2, E",u: R'/S,"F': E, R2",u': R/E',M/U R' U',u: L/E'
RD,U/R' E' R,"R' E' R, U'","U2: R' E' R, U",R' u': R/E',"U': R' F' R, S'","U': R' F2 R, S'",R E' R' U': R'/E,"U' S U, R",,"U' S U, R'","U' D': S, R' F' R","R' E': R U' R', E'","U': l U l', S'","D': U' R' U, M'",R' F: R'/S,M' U: R/E,L F': L/S,"R' F: E', R2","R' F': E, R2",,"U': S, R' B R","R F R', S'"
RF,U'/L E' L',"U2: L E' L', U'","L E' L', U",,"M': M', U R U'","E', L' U L","S': L E' L', U",M' U': R'/S,"R', U' S U",,"U R U', M'","L: L E' L', U","U M: U', L E' L'","E, R' U' R",R M: U'/M',U E: R/S,M' U': L/E',"R2 F: E', R2","R2 F': E, R2",U' E': R'/E,M/U R U',U E: L'/E
BU,,"R' U' R U, M","L U L' U', M","U' R U, M","U': R' F' R, S","U L' U', M","M', R U R' U'","M', U R' U'","U' D': R' F' R, S","M', U R U'",,"U L U', M","U': R B R', S","U' R' U, M","M', L' U' L U","M', U' L' U","U' D: R' F' R, S","M', U' L U","U: S, R' F' R","U D': S, R' F' R","U: S, l U l'","U D: S, R' F' R"
BL,"L' U: L2, S'","R' E2 R, U'","E': L' E L, U",R' U': R/E',"M', U L U'",U': L'/S',S U': R/E',"L U L', E","R' E2: R U' R', E","L: U, L E' L'","M, U L U'",,"U2: M, U' L U",R U': R/E',U' l: U'/M',"L U L', E'",S' U': R/E',,U' D: R/E',U': R/E',U' D': R/E',U' L' U' L' U L U L U L'
BD,U M': U'/M',M U' M' U' M U' M' U',M U M' U M U M' U,"U': R, U' M U",U M U M' U2 M' U' M U,"U: L', U M U'","U D: L F' L', S","U M: l' E l, U'","U': S', l U l'","U l: E', L' U' L","U': S, l U l'","U: L, U M U'",,"U': R', U' M U","U' D': R' F R, S'","U' r': E, R U R'","U: S, r' U' r","U' M: R E' R', U","D: L' F' L, S","D' R' F': E, R2",,"D L F: E', L2"
BR,"R U': R2, S","E: R E' R', U'","L E2 L', U",U: R/S,"M', U' R' U",R U': R/E,R u': R'/E',,"D': M', U' R' U","R' U' R, E","M, U' R' U",R U': R'/E',"U2: M, U R' U'",,S' U: L'/E,"R': U', R' E R","L E2: L' U L, E'","R' U' R, E'",U R': U/M',U R U R U' R' U' R' U' R,"M2, U' R' U",U: L'/E
LU,U' M: U/M',"L F' L', S'",,S' U: L'/E',"U' D: S', R' F R","r U: r' E r, U",M: U/M',r': U/M',R' F: R/S,R M: U/M',"L' U' L U, M'",U' l: U/M',D' R' F: R/S,"M': U', L' E L",,"S: U', R' E R",l' U: L'/S',"S: U', R E' R'","L' F': L2, E'","r: U', L E' L'","D: L F' L', S","L F' L', S"
LF,U/R' E R,"R' E R, U'","U2: R' E R, U","E, R U' R'","M2: U' L' U, M",,"U' r': R U' R', E",r U: R'/E,M' U: R'/E,U E: R'/S,"U' L' U, M'","E', L U L'","U' M: U, R' E R","R': R' E R, U'","S: R' E R, U'",,"L, U S' U'",M' U: L/S',"U R' F2: R S R', F",U' E': R/E',M/U' L' U,U E: L/E'
LD,U'/L E L',"U2: L E L', U'","L E L', U","U: L F2 L', S","U: L F L', S",S' U': R/E,L F': L/S',"L F': E, L2",R' F: R'/S',M' U': L'/E',"U' D: S, R' F' R",S' U': R'/E',"U: L' B' L, S","L E: L' U L, E",l' U: L/S',"U S' U', L",,"U S' U', L'","L F: E', L2","L' F' L, S","U: S', L B' L'",
LB,U/R E' R',"R E' R', U'","U2: R E' R', U","R: R E' R', U'","U' M': U', R E' R'","E, L' U L",l: U/M',u: R/S,"R' F: R2, E'","R2 F: R2, E'","U' L U, M'",,"U' M: U, R E' R'","E', R' U' R","S: R E' R', U'",M' U: L'/S',"L', U S' U'",,"F: E', L2",u': R'/E,M/U' L U,u: L'/E
DF,"M', U2",L: F'/L' S' L,R': F/R S R',U D': L'/E',,U' D: R/E,"D: S', R' F R","F': R2, E","R' F':  R2, E","R2 F': R2, E","U: R' F' R, S",U' D: R'/E',"D: S, L' F' L",U R': U'/M',"L' F': E', L2","U R' F': R S R', F'","L F: L2, E'","F: L2, E'",,R': F/R S' R',u2 M' u2 M',L: F'/L' S L
DR,"U': R2, S",R' U: R/S,R' U' R U R U R U' R' U',U2 R U' R' U' R' U' R U R U',U R' F': R/S,U': R/E,"S', R' F R",u': R'/E',,U' E': R/E,"U D': R' F' R, S",U': R'/E',"D' R' F': R2, E",R' U R U R U R' U' R' U',"r: L E' L', U'",U' E': R'/E',"S, L' F' L",u': R/E,"R' F': R S' R', F2",,U' R D: R'/S',"U: L2, S"
DB,"U2, M",R U R': U/M,U l: U/R' E R,U D: L'/E',"D': S, L' F' L",U' D': R/E,"D': S', R' F R",M'/U R' U',"U': R' B R, S",M'/U R U',"U: l U l', S",U' D': R'/E',,"U' R' U, M2","D: S, L F' L'",M'/U' L' U,"U: L B' L', S'",M'/U' L U,M' U2 M' U2 M2,U' R D: R/S',,U' D R D R' D' R' D' R' D R U
DL,"U: L2, S'",L U L' U' L' U' L' U L U,L U': L'/S',U: L'/E',U' L F: L'/S',U2 L' U L U L U L' U' L' U,"l': R' E R, U",u: L'/E',"S', R F R'",U E: L/E,"U D: R' F' R, S",L U' L' U' L' U' L U L U,"D L F: L2, E'",U: L/E,"S, L F' L'",U E: L'/E',,u: L/E,L: F/L' S L,"U': R2, S'",U' R' D' R D R D R D' R' U D',
