,UBL,UBR,UFL,FUL,FDR,FDL,RUB,RDB,RDF,BUR,BUL,BDL,BDR,LUB,LUF,LDF,LDB,DFL,DFR,DBR,DBL
UBL,,R D R': U'/R D' R',"R' D' R U': U', R' D R",l' D': U/R D R',D: U'/R D R',D': U'/R D' R',"R' U D R: R U' R', D'",U'/R D R',"R' D' R, U2",R' D: U/R D R',,D': U'/R D R',D: U'/R D' R',,"F: U2, R' D' R","R' D R, U2",U'/R D' R',R F' R': U'/R D R',"U' R' D R: R D' R', U2","R D' R': R' D R, U2","R' D' U' R: R U' R', D"
UBR,R D R': U/R D' R',,R' D' R: U/R' D R,"R: U2, R D R'","D': R' D R, U","D: R' D' R, U",,"U', R D R'","R' D' R, U",,"R': R' D' R, U2","R' D2 R, U","D: U', R D' R'","R: U, R D R'","R': R' D' R, U'","R' D R, U","U', R D' R'","F2, U R' U' R","R' D R U' R D' R', U","U', R D' R' U R' D R","R' B: D', R U R'"
UFL,"R' D' R U': R' D R, U'","R' D' R U': R' D R, U2",,,"D': R' D R, U'","D: R' D' R, U'","U' R': U2, R' D' R","U': R D R', U'","R' D' R, U'","R' D': U', R' D R","U' R': U', R' D' R","D: R' D R, U'","D': R' D' R, U'","R U R': U2, R' D' R",,"R' D R, U'","U': R D' R', U'","R' U' R: F2, R' U R U'","R' D R U' R D' R', U'","R D' R': R' D R, U'","R' D' R: R U' R', D"
FUL,l' D': U'/R D R',"R: R D R', U2",,,"D' R' D: F2, D' R D R'",R: U/R' D R,"R': U', R2 D' R2 D R2",R D': U/R' D R,D R: U/R' D' R,R D': U/R' D' R,R U R' D: U/R D R',"D R' D: F2, D' R D R'",R: U/R' D' R,l': U'/R D' R',,"R' D: F2, D' R D R'",R D: U/R' D R,R D: U/R' D' R,D' R D: U/R' D' R,"D R: R D' R', U2","R: R D' R', U2"
FDR,D: U/R D R',"D': U, R' D R","D': U', R' D R","R': F2, R D' R' D",,"R': F', R D' R' D",U' R': U/R D R',"U: R U' R', D'",,"D' R' U: R U' R', D","D R' U: R' D' R, U","U: R U' R', D2",D R: D/R' U' R,"R U R': U', R' D' R","U R U': F, U R' U' R","U R U' R', D","U R U': U', R D' R'","U R U': F2, U R' U' R",,"U R D': U', R' D R","R' D' R: R U R', D"
FDL,D': U/R D' R',"D: U, R' D' R","D: U', R' D' R",R: U'/R' D R,"D' R' D: F', D' R D R'",,"U D' R: R D' R', U2","R D2: R' U' R, D'","D, R U R'","U R' U': D, R U R'","D R': D, R' U R",D' R: D'/R' U' R,D/R U R',"R U2: R' D R, U'","D R' U': R U R', D'",,"D: R U R', D",,"R U' R': R' D R, U2","D R: R D' R', U'","D R D: U, R' D' R"
RUB,"R' U D R: D', R U' R'",,"U' R': R' D' R, U2","R': R2 D' R2 D R2, U'",U' R': U'/R D R',U R D: U'/R' D' R,,U R: U'/R' D' R,"R': D', R2 U R2 U' R2",,"U R: U2, R D R'",U' R': U'/R D' R',"U D R: U2, R D' R'","R: U, R D' R' U R' D R","R U' D' R': R' U R, D",U R: U'/R' D R,"U R: U2, R D' R'","U' R': R' D R, U2","U' D' R': R' D R, U2","R': R2 D' R2 D R2, U","U' D R': R' D R, U2"
RDB,U/R D R',"R D R', U'","U2: R D R', U",R D': U'/R' D R,"U: D', R U' R'","R D: R' U' R, D",U R: U/R' D' R,,"R' U: D', R U R'","U' R U: R' U' R, D","R' U: R' D' R, U","U': R' U' R, D'",,"U' R: D', R U' R'",R': U/R' D' R,U: D'/R U' R',R: D/R' U' R,"U' R': R' D R, U","D' R: R' U R U', F2",,"U' R': R' D2 R, U"
RDF,"U2, R' D' R","U, R' D' R","U', R' D' R",D R: U'/R' D' R,,"R U R', D","R': R2 U R2 U' R2, D'","R' U: R U R', D'",,"R' U: R U' R', D'","R': D, R' U R","U R' D': R U' R', D'","R U R', D'","U R' U': R D R', U'","R' U': R U R', D'",U R': D'/R U' R',"R U R', D2","R D: U, R' D' R",,"R: U, R' D R U' R D' R'","R: R D' R', U'"
BUR,R' D: U'/R D R',,"R' D': R' D R, U'",R D': U'/R' D' R,"D' R' U: D, R U' R'","U R' U': R U R', D",,"U' R U: D, R' U' R","R' U: D', R U' R'",,"R, U' L' U","D R' U: D, R U' R'","R U': R' U R, D","U R': R' D' R, U'","R' F: D, R U R'","R' U: D, R U' R'","U' R U: D', R' U' R","U D R' U': R U R', D'","U R' U': R U R', D'","D R U': R' U R, D'","R U': R' U R, D'"
BUL,,"R': U2, R' D' R","U' R': R' D' R, U'",R U R' D: U'/R D R',"D R' U2: R' D' R, U'","D R': R' U R, D","U R: R D R', U2","R' U2: R' D' R, U'","R': R' U R, D","U' L' U, R",,"U' R' U': R D' R', U'","D' R': R' U R, D",,"R' U2: R' D' R, U","U' R' D: R' D' R, U'","U2 R: U, R D' R'","U' R': R' D R, U'","U' D' R': R' D R, U'","U R: D', R U' R'","R2 U: D', R' U' R"
BDL,D': U/R D R',"U, R' D2 R","D: U', R' D R","D2 R': F2, R D' R' D","U: D2, R U' R'",D' R: D/R' U' R,U' R': U/R D' R',"U': D', R' U' R","U R' D2: R U' R', D","D R' U: R U' R', D","U' R' U2: R D' R', U",,"U': R', U' L U","U D R': R' D R, U'","R' U': R U R', D2","U D2: R U' R', D'",,"U' D' R': R' D2 R, U","U' D' R': R' D R, U","U R: D2, R U' R' ",
BDR,D: U/R D' R',"D: R D' R', U'","D': U', R' D' R",R: U'/R' D' R,D R: D'/R' U' R,D'/R U R',"U D R: R D' R', U2",,"D', R U R'","R U': D, R' U R","D' R': D, R' U R","U2: L, U R' U'",,"R U2: R' D' R, U'","F: R U R', D'",U R': U'/R' D R,"D': R U R', D'","D' R: R D' R', U'","D' R D: U, R' D' R",,R U': D/R' U R
LUB,,"R: R D R', U","R U R': R' D' R, U2",l': U/R D' R',"R U R': R' D' R, U'","R U: R' D R, U","R: R D' R' U R' D R, U","U' R: R U' R', D'","U R' U2: R D R', U","U R': U', R' D' R",,"U D R': U', R' D R","R U: R' D' R, U",,"L, U' R' U","U R': U', R' D R","R D': R D R', U","D' R: R D' R', U","U R' D': U', R' D' R","D R: R D' R', U","R: R D' R', U"
